company,title,location,experience,salary_lpa,match,portal,posted,url
Coinbase,Machine Learning Engineer,Remote (India),2+ yrs,44.1,61,greenhouse,2026-09-14T16:39:13-04:00,https://www.coinbase.com/careers/positions/7985187
Coinbase,"Software Engineer, Security Platform",Remote (India),3+ yrs,44.1,20,greenhouse,2026-08-28T19:26:55-04:00,https://www.coinbase.com/careers/positions/8165441
Coinbase,"Software Engineer, EAA Integrations",Remote (India),2+ yrs,35.8,26,greenhouse,2026-09-14T16:38:51-04:00,https://www.coinbase.com/careers/positions/7558051
Canonical,Software Engineer - Secure Container Images,Remote (Apac),0-7 yrs,,35,greenhouse,2026-08-25T10:07:21-04:00,https://job-boards.greenhouse.io/canonical/jobs/8130859
Canonical,C++/Rust Graphics and Windowing System Software Engineer - Mir,Remote (Apac),2+ yrs,,27,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/4439935
Coinbase,Senior Machine Learning Engineer,Remote (India),"5+ yrs, senior title",66.1,61,greenhouse,2026-09-14T16:39:01-04:00,https://www.coinbase.com/careers/positions/7739592
Canonical,MLOps Field Engineer,Remote (Worldwide),Years not stated,,51,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/6783943
Canonical,Python Engineer,Remote (Worldwide),Years not stated,,42,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/5143074
Canonical,"Python and Kubernetes Software Engineer - Data, Workflows, AI/ML & Analytics",Remote (Worldwide),Years not stated,,41,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/5703396
Canonical,Software Engineer - Python and K8s,Remote (Worldwide),Years not stated,,40,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/3752633
Canonical,Software Engineer - Python - Container Images,Remote (Apac),Years not stated,,39,greenhouse,2026-08-25T10:07:36-04:00,https://job-boards.greenhouse.io/canonical/jobs/6222476
Canonical,"Software Engineer, Cloud - Sustaining Engineering",Remote (Worldwide),Years not stated,,38,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/3062022
Canonical,Software Engineer - L3 Support,Remote (Worldwide),Years not stated,,38,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/6635671
Canonical,"Software Engineer, Sustaining Engineering",Remote (Worldwide),Years not stated,,38,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/3326693
Canonical,Linux Devices Software Engineer,Remote (Worldwide),Years not stated,,37,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/5140562
Canonical,"Go (Golang) Software Engineer, Developer Tooling and Containers",Remote (Apac),Years not stated,,36,greenhouse,2026-08-23T19:34:47-04:00,https://job-boards.greenhouse.io/canonical/jobs/4857458
Canonical,Linux Software Engineer - Ubuntu for Next-Gen Silicon (multiple roles and seniority levels),Remote (Apac),Years not stated,,35,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/7432750
Canonical,"Graduate Software Engineer, Open Source and Linux, Canonical Ubuntu",Remote (Worldwide),Years not stated,,32,greenhouse,2026-08-24T05:14:46-04:00,https://job-boards.greenhouse.io/canonical/jobs/8142329
Canonical,Junior Ubuntu Software Engineer,Remote (Worldwide),Years not stated,,32,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/6707669
Canonical,Open Source Networking Software Engineer - ToR Switch / SmartNIC / DPU ,Remote (Apac),Years not stated,,32,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/5660661
Canonical,Security Software Engineer,Remote (Worldwide),Years not stated,,32,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/5146620
Canonical,Software Engineer - Solutions Engineering,Remote (Worldwide),Years not stated,,29,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/3290946
Canonical,Ubuntu Software Engineer,Remote (Worldwide),Years not stated,,29,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/6707824
Canonical,Software Engineer - App Stores,Remote (Worldwide),Years not stated,,26,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/3159992
Canonical,Alliances Field Engineer,Remote (Worldwide),Years not stated,,25,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/3433732
Coinbase,"Staff Software Engineer, Customer Administration",Remote (India),Senior title,94.2,62,greenhouse,2026-09-14T16:39:37-04:00,https://www.coinbase.com/careers/positions/8054153
Coinbase,"Staff Software Engineer, Security Platform",Remote (India),Senior title,94.2,20,greenhouse,2026-08-31T13:27:12-04:00,https://www.coinbase.com/careers/positions/8167571
Canonical,Embedded Linux Senior Software Engineer - Optimisation,Remote (Worldwide),Senior title,,30,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/6189337
Turing,Staff Software Engineer,Remote (India),Senior title,,30,greenhouse,2026-09-03T01:01:14-04:00,https://job-boards.greenhouse.io/turing/jobs/6115701004
Canonical,Cloud Solutions Architect - Alliances,Remote (Worldwide),Senior title,,25,greenhouse,2026-08-05T18:23:33-04:00,https://job-boards.greenhouse.io/canonical/jobs/5915936
Cloudflare,"Senior Manager, Customer Engineering, India",Remote (India),Senior title,,21,greenhouse,2026-09-04T10:59:17-04:00,https://boards.greenhouse.io/cloudflare/jobs/8020043
Appinventiv,AL/ML Engineer,Noida,Years not stated,,35,custom,,https://appinventiv.com/career/
Appinventiv,AI Architect,Noida,Senior title,,25,custom,,https://appinventiv.com/career/
Mastercard,Lead AI Engineer,Gurgaon,Senior title,,30,workday,Posted Yesterday,https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/Gurgaon-India/Lead-AI-Engineer_R-289260-1
GitLab,AI Engineer,Bangalore / Remote,Years not stated,,55,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8556658002
Swiggy,Data Scientist III,Bengaluru,Years not stated,,35,smartrecruiters,2026-09-09T13:53:04.471000+00:00,https://jobs.smartrecruiters.com/swiggy/postings/6000000001391633
GitLab,Intermediate Backend Engineer,Bangalore,Years not stated,,33,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8736877002
Meesho,Data Scientist III,Bangalore,Years not stated,,30,lever,2023-11-10T04:17:11.159000+00:00,https://jobs.lever.co/meesho/489fe662-5d28-4305-953e-91ee21e8538c
Unacademy,"Software Engineer, Backend",Bengaluru,Years not stated,,25,smartrecruiters,2018-06-28T13:11:04+00:00,https://jobs.smartrecruiters.com/unacademy/postings/743999672726735
GitLab,Intermediate Backend Engineer - Database Change Management,Bangalore,Years not stated,,23,greenhouse,2026-09-14T16:01:39-04:00,https://job-boards.greenhouse.io/gitlab/jobs/8722304002
